company_id,type,rule_id,text,confidence_pct
ATGL,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
AXISBANK,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,71.54
AXISBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,81.94
AXISBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
AXISBANK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,70.32
AXISBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
AXISBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
AXISBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,84.7
AXISBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BAJAJ-AUTO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,70.64
BAJAJ-AUTO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.24
BAJAJ-AUTO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJAJ-AUTO,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71.59
BAJAJ-AUTO,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
BAJAJFINSV,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,70.66
BAJAJFINSV,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73.36
BAJAJFINSV,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,81.02
BAJAJFINSV,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,72.48
BAJAJFINSV,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,75.34
BAJAJFINSV,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74.12
BAJAJFINSV,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90.0
BAJAJFINSV,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,94.0
BAJAJFINSV,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BAJAJHLDNG,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,76.4
BAJAJHLDNG,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,86.84
BAJAJHLDNG,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BAJAJHLDNG,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJAJHLDNG,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71.37
BAJAJHLDNG,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74.88
BAJAJHLDNG,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
BAJFINANCE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73.75
BAJFINANCE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,75.42
BAJFINANCE,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.93
BAJFINANCE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJFINANCE,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78.31
BAJFINANCE,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.18
BAJFINANCE,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90.0
BAJFINANCE,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BANKBARODA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.42
BANKBARODA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
BANKBARODA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BANKBARODA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,83.79
BANKBARODA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BANKBARODA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,83.7
BANKBARODA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,88.35
BANKBARODA,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BEL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
BEL,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,79.13
BEL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71.46
BEL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BEL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,79.28
BEL,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
BHARTIARTL,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,81.02
BHARTIARTL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,96.93
BHARTIARTL,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
BHEL,pro,PRO_FALLBACK,Company does not trigger any primary positive screening rule but remains included in the financial analysis universe,61.0
BHEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,100.0
BHEL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BHEL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71.22
BOSCHLTD,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,74.13
BOSCHLTD,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,76.24
BOSCHLTD,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BOSCHLTD,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,72.23
BOSCHLTD,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,81.3
BOSCHLTD,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.73
BOSCHLTD,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,84.49
BOSCHLTD,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,90.0
BOSCHLTD,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
BPCL,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82.28
BPCL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,80.23
BPCL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90.52
BPCL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,90.85
BPCL,con,CON_05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75.83
BRITANNIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
BRITANNIA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,86.47
BRITANNIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,87.42
BRITANNIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.59
BRITANNIA,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
CANBK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.13
CANBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85.23
CANBK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71.81
CANBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,81.98
CANBK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,88.16
CANBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86.85
CANBK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
CHOLAFIN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75.9
CHOLAFIN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,73.67
CHOLAFIN,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,79.59
CHOLAFIN,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,86.11
CHOLAFIN,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83.75
CHOLAFIN,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78.69
CHOLAFIN,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90.0
CHOLAFIN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
CIPLA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,83.41
CIPLA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
CIPLA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,77.16
CIPLA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,84.45
CIPLA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,81.69
CIPLA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,87.65
CIPLA,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,90.0
CIPLA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,74.68
COALINDIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.28
COALINDIA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,72.7
COALINDIA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
COALINDIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,71.51
COALINDIA,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,72.38
COALINDIA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,70.71
COALINDIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77.65
COALINDIA,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
DABUR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,87.66
DABUR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78.93
DABUR,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71.42
DABUR,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,71.4
DIVISLAB,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,77.54
DIVISLAB,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,74.7
DIVISLAB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
DIVISLAB,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
DLF,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,77.04
DLF,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71.92
DLF,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,70.58
DLF,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,73.85
DLF,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,91.3
DLF,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,72.15
DMART,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82.56
DMART,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73.13
DMART,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
DMART,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71.0
DMART,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
DRREDDY,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.44
DRREDDY,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71.61
DRREDDY,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71.88
DRREDDY,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,93.24
DRREDDY,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76.67
DRREDDY,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.67
DRREDDY,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,79.62
DRREDDY,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
EICHERMOT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,81.48
EICHERMOT,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71.17
EICHERMOT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
EICHERMOT,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,72.41
EICHERMOT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,73.42
EICHERMOT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.39
EICHERMOT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.19
EICHERMOT,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
GAIL,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.36
GAIL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,86.84
GAIL,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
GODREJCP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,81.66
GODREJCP,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71.09
GODREJCP,con,CON_04,Company reported a net loss in the most recent financial year,73.2
GRASIM,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,71.1
GRASIM,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,100.0
GRASIM,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,73.5
GRASIM,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,88.01
HAL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
HAL,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,73.75
HAL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,76.95
HAL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,74.41
HAL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HAL,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,70.77
HAL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79.77
HAL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,86.65
HAL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,81.6
HAVELLS,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,75.01
HAVELLS,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.98
HAVELLS,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HAVELLS,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,70.6
HAVELLS,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
HCLTECH,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,80.31
HCLTECH,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,77.08
HCLTECH,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HCLTECH,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.73
HCLTECH,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,74.04
HDFCBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.91
HDFCBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HDFCBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71.46
HDFCBANK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,72.33
HDFCBANK,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,71.8
HDFCBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,81.65
HDFCBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
HDFCLIFE,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,78.31
HDFCLIFE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,82.96
HDFCLIFE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HDFCLIFE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HDFCLIFE,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71.22
HDFCLIFE,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86.95
HEROMOTOCO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,78.37
HEROMOTOCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HEROMOTOCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,97.19
HEROMOTOCO,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,72.85
HINDALCO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,84.09
HINDALCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HINDALCO,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,77.09
HINDALCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HINDALCO,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,81.93
HINDALCO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,83.44
HINDALCO,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
HINDUNILVR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,83.58
HINDUNILVR,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HINDUNILVR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.8
HINDUNILVR,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,72.32
HINDUNILVR,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.24
HINDUNILVR,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
ICICIBANK,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,76.35
ICICIBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.31
ICICIBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ICICIBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,86.1
ICICIBANK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71.43
ICICIBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,91.08
ICICIBANK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.07
ICICIBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,89.79
ICICIBANK,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,75.4
ICICIBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82.0
ICICIBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
ICICIGI,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,74.16
ICICIGI,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70.13
ICICIGI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ICICIGI,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71.46
ICICIGI,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.96
ICICIGI,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,78.09
ICICIGI,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,100.0
ICICIPRULI,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,70.16
ICICIPRULI,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.84
ICICIPRULI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ICICIPRULI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ICICIPRULI,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,76.25
INDIGO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,71.46
INDIGO,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.42
INDIGO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
INDIGO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,79.97
INDIGO,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,72.27
INDIGO,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
INDIGO,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
INDUSINDBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,86.03
INDUSINDBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,77.71
INDUSINDBK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,71.72
